customer_id,name,email,phone,created_at
fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,Aryan Maharaj,udantdewan@example.net,+918196001338,2026-04-18 13:05:11
ab3fd93e-93e7-4678-8cef-ec10261a0f12,Rushil Saini,saumyamall@example.org,+916542351161,2026-01-14 03:47:44
68a10bdb-1480-41d9-811b-3c30f775459b,Aishani Bassi,hyadav@example.com,+918495931034,2025-09-27 17:34:49
0ed5f1c4-5e71-4b3e-8e9e-8eb6c8b4b9f5,Harrison Rai,sudiksha52@example.com,03419283276,2025-12-10 13:57:40
dd32e031-fd7b-442f-93b8-6c8b8df80261,Ekta Bhalla,azadmutti@example.com,01395376724,2025-10-20 23:18:51
21b322d7-11a3-4911-9049-5f1e069a2aa8,Adya Sangha,opathak@example.org,7101226916,2026-01-22 22:48:53
c066a1f8-e50b-4b91-bc72-270742204e39,Zayan Apte,yadavamara@example.net,01462704828,2026-08-17 04:10:23
ef03ed41-03f3-4756-9d93-006229977469,Chanchal Tripathi,michaelprakash@example.org,8095701543,2025-09-19 05:46:01
bfa1f931-e8ba-4572-a798-9caa44a4eaaa,Farhan Chada,wbiswas@example.net,+912782489638,2026-06-17 01:26:49
f9e9acd2-fab8-4d82-ba24-9e052072fac1,Devika Rastogi,raksha87@example.org,+913150983930,2025-09-24 07:34:07
4baccf83-dad3-4382-b474-b1376424fdfd,Veer Bir,narayananekavir@example.net,+914738299737,2026-07-07 08:16:58
68754505-e883-465a-9bc1-43a230b3a4b6,Ranveer Chandra,sankarirya@example.com,07010651333,2026-02-11 09:07:25
e517cebb-774b-4890-8feb-fe6bf2fe952b,Logan Sami,aryashere@example.org,+917810801326,2026-03-04 08:22:07
fd8d54d3-b879-4dfe-a6a7-a2057568d282,Tanay Rattan,galaladli@example.org,04746872343,2025-09-19 10:58:08
83f79f57-7928-4b4e-92b1-8030d988553d,Dipta Bhandari,soodyadavi@example.net,+910812191361,2026-08-08 11:56:40
dac3fecc-ead3-4c06-95fe-fefeff2ac559,Balveer Bumb,uvirk@example.com,+915346247510,2026-02-21 17:23:45
19cd6492-9f2b-4104-908d-93bd0bae880a,Ethan Yogi,yashawinilanka@example.org,01354278498,2025-08-30 18:46:54
e060d66b-7c0f-4826-b363-90c0cbb1e7d5,Hemang Desai,jack18@example.org,04935348740,2025-10-02 14:08:57
6536fcb3-7b1b-4669-9fc3-498febb7f3a4,Aradhana Basu,nathkalpit@example.net,02786801128,2025-09-10 17:40:18
d7e94dca-2746-4cd5-817f-065090e938ae,Manbir Sani,benjaminmorar@example.com,+915331586923,2026-07-29 12:34:28
0c07a988-b9ef-4cc2-a82a-95ae04827bc3,Peter Sachar,golagaurangi@example.com,3421607337,2026-01-10 12:55:04
d6daf440-27d0-43d7-8d4a-803d855a4d8c,Vedant Kapoor,hansmohini@example.com,01458685014,2025-11-05 02:14:16
a0dcc4df-fbd2-42d0-934d-cae17f35d9be,Balvan Chopra,upai@example.com,09816934060,2026-03-17 15:52:26
